name,Predictions,Score
P69776,0,0.26513508
P0ACF0,1,0.83856124
P0A9B2,1,0.71013683
P0A7K2,1,0.81735766
P0ACF4,1,0.8357829
P0AC38,1,0.62451637
P0A910,0,0.48974627
P0A853,1,0.6763321
P0A7J3,1,0.86777675
P0A7R1,1,0.827826
P0A6A8,1,0.7597615
P02359,1,0.6658682
P0AG55,1,0.81577426
P0A7W1,1,0.6765048
P0A7S9,1,0.5631
P61889,1,0.51747787
P61175,1,0.6458465
P0A6F9,1,0.8882879
P02413,1,0.85397685
P0A7R5,1,0.5082663
P0A7W7,1,0.7616991
P0A7M9,1,0.6956413
P0A6P1,1,0.83198464
P0A7U7,1,0.82181835
P0AG44,1,0.6999568
P0AD49,1,0.9166258
P0AG48,1,0.84798986
P0A7J7,1,0.7635512
P0AA10,1,0.8641052
P0A7X3,1,0.7046474
P0A7V3,1,0.68338305
P0AG63,1,0.8430966
P60723,1,0.6626918
P0A7T3,1,0.9062519
P0A7M6,1,0.56653255
P0A7V0,1,0.6737963
P68066,1,0.58485925
P62399,1,0.76345
P0AE08,1,0.8744667
P60624,1,0.8477524
P0A7L0,1,0.72790253
P0AGD3,1,0.8667714
P0A6Y8,1,0.53072363
P0A799,1,0.7409629
P0A7N9,1,0.6823701
P0A9P0,1,0.6708732
P0ACF8,1,0.8909012
P0A836,1,0.6264781
P60422,1,0.6920399
P60438,1,0.79516286
P0A870,1,0.5659352
P0AG67,1,0.61970705
P0A7V8,1,0.572036
P0A7T7,1,0.5606616
P0A6P9,1,0.7394227
P09373,1,0.5451175
P0A862,1,0.87049377
P0A7U3,1,0.7217951
P0A7K6,1,0.8547021
P0A915,0,0.336564
P0AF93,1,0.8821813
P0A6M8,1,0.6473321
P0C018,1,0.7077553
P0AEU7,1,0.6991477
P0A7L3,1,0.6453039
P69783,1,0.84775305
P0ADY3,1,0.59401035
P0AED0,1,0.8433889
P0ADY7,1,0.61275476
P0AG51,1,0.6118156
P0ABT2,1,0.8760973
P0A7L8,1,0.8318384
P0ADZ4,1,0.7021249
P0A7M2,1,0.6723234
P37903,1,0.7331378
P06959,1,0.55722827
P0A912,0,0.27142316
P0A9Y6,1,0.8213037
P02358,1,0.8765446
P0A953,1,0.5989438
P0A7Q6,0,0.37436518
P09394,0,0.4183702
P36683,0,0.34844053
P68699,0,0.17497216
P00509,1,0.6366564
P0A7R9,1,0.62168634
P0ABB0,1,0.54018545
P0A6X3,1,0.5753021
P0AFX0,1,0.73821527
P0AC41,0,0.38533077
P68919,1,0.930449
P0ABB4,0,0.44931713
P00350,1,0.58345187
P23869,1,0.93376684
P0A7A9,1,0.8233158
P0AGF6,0,0.4687016
P0A8F0,1,0.67889094
P0ABH7,1,0.5161484
P0ADZ0,1,0.6210154
P0AC33,0,0.49736175
P0AB71,1,0.7199011
P0ACJ8,0,0.3297174
P07014,0,0.4425354
P0A6Z3,1,0.66939056
P00805,0,0.3616597
P0A7D4,1,0.5530674
P0AEE5,0,0.41077414
P0A7N4,1,0.7668272
P0AF36,1,0.56649566
P63284,0,0.35385406
P0A7P5,1,0.6019276
P0A6A3,1,0.58940506
P0ABA0,1,0.54407847
P0A6X7,1,0.6266955
P0A715,1,0.7905818
P23538,0,0.36502993
P69913,1,0.5421136
P0A8M3,1,0.6180657
P0AGL2,1,0.8199155
P0AEQ3,1,0.57097054
P0ACA3,1,0.6999746
P0A7S3,0,0.48443335
P0AG86,1,0.90300024
Q46803,1,0.78243554
P0C058,1,0.88918895
P0A805,1,0.70011246
P62707,1,0.56380713
P0A825,1,0.6634501
P0AEK4,1,0.60912335
P21599,1,0.5806178
P00363,1,0.52424514
P0A8N3,1,0.52276367
P0AA04,1,0.9127828
P0AD61,1,0.7169168
P0A955,1,0.72864467
P0A8N5,0,0.49493927
P39177,1,0.7829731
P0A707,1,0.707595
P0A972,1,0.8375579
P0ADZ7,0,0.26948175
P17169,0,0.27735975
P0A9A6,1,0.6188246
P0ADP9,1,0.6079829
P0AEK2,1,0.84484756
P0ABQ2,1,0.7124109
P0A6N4,1,0.91606265
P0A717,0,0.30039328
P13029,0,0.3832205
P0ABJ1,0,0.2399483
P63224,1,0.7539793
P0A9M5,1,0.66128546
P0AG59,1,0.84793615
P12758,1,0.7250098
P0A6Y1,1,0.79252136
P0ADU2,1,0.8994783
P0AAI9,1,0.7349245
Q46868,1,0.70975447
P00963,0,0.38979006
P0AC47,1,0.5972289
P0ABA6,0,0.38109708
P0A8M0,0,0.4863019
P22259,1,0.5548687
P0A6Q3,0,0.30528134
P0AA16,1,0.609293
P0A9S5,1,0.5618964
P23827,0,0.28152567
P0AEZ3,1,0.7091874
P00934,1,0.57976294
P38683,0,0.13536236
P0A6Q6,1,0.8619658
P0A8L1,0,0.47535482
P0A6K6,1,0.7372655
P0A9D8,1,0.5437266
P0AC69,1,0.70260966
P0AET2,0,0.20018825
P0ABF6,1,0.6772493
P0AET8,1,0.6346587
P0C054,1,0.8843147
P00561,0,0.2647238
P28635,0,0.4720849
P08839,1,0.6943734
P0AEP3,1,0.6520486
P0A7Z0,1,0.74679726
P0AGE0,1,0.7476982
P0AG30,0,0.42560172
P0AAC0,1,0.5218829
P0A9Q7,0,0.4021995
P0A6L2,1,0.7427138
P00954,0,0.47927767
P0A6L0,1,0.6903404
P0A796,0,0.46451825
P0AC44,0,0.09003189
P61714,1,0.7240676
P0A7Q1,1,0.66393906
P0AC81,1,0.7924061
P0A9X9,1,0.7815757
P0A9M8,0,0.49022704
P0AAA1,0,0.08482394
P0AB77,1,0.514782
P0A6F3,0,0.49629372
P0A8P3,1,0.8064238
P0A7G6,0,0.43586636
P24182,1,0.58306116
P0ABS1,1,0.6232368
P0A8B5,1,0.6665338
P0ABJ9,0,0.15807906
P36938,1,0.5880831
P76558,0,0.36912245
P14407,1,0.6341194
P0AAI5,1,0.5277555
P42632,0,0.40715784
P31979,0,0.4086094
P39173,1,0.79174715
P69222,1,0.589745
P07650,1,0.58166397
P0A817,1,0.6545855
P0A993,1,0.59175175
P0ACE0,1,0.7497944
P0A734,1,0.5457225
P0ABD5,0,0.23288003
P69910,1,0.55225575
P37330,0,0.46667233
P27248,1,0.6920274
P04805,1,0.65917903
P64581,0,0.20043495
P0A9C3,1,0.73285055
P0A6W5,1,0.67695373
P0AB61,1,0.653877
P0A7G2,1,0.7775851
P0AES9,0,0.43688554
P21889,1,0.5518424
P0AD59,0,0.21406253
P61949,1,0.7378469
P37440,1,0.595809
P33599,0,0.3475837
P0A7E5,0,0.49565
P05055,0,0.3434114
P0AG27,0,0.39896208
P0A9A9,1,0.76453394
P69054,0,0.046444435
P35340,1,0.6630622
P08312,1,0.5124767
P0ADG4,0,0.40924796
P0A6T1,1,0.67616206
P0A9C5,1,0.6201345
P0AC62,1,0.7890346
P0AE06,0,0.36060756
P0A964,0,0.45000687
P31658,1,0.81249297
P0ACY1,1,0.50506365
P0A9W3,1,0.7215375
P23721,1,0.7801372
P0AFK9,0,0.47205657
P23843,0,0.478232
P0ABH9,0,0.46513954
P0A9M0,0,0.23574165
P0A8D0,0,0.4268741
P0AFY8,1,0.72859037
P0ABA4,1,0.6834679
P0A9T0,1,0.5514105
P0A9C0,0,0.38986546
P0AE52,1,0.87083024
P07913,1,0.6622156
P45523,0,0.49582887
P0A6E6,1,0.80407727
P0AFC7,1,0.61850613
P0ACJ0,1,0.517111
Q46856,1,0.6635927
P37329,0,0.42935354
P02942,0,0.2818583
P69428,0,0.24767216
P23893,1,0.5871178
P67095,1,0.72222465
P16659,1,0.5816565
P0A9X4,0,0.3444155
P33232,0,0.48971033
P0A9D2,1,0.8201497
P0A780,1,0.6665084
P27306,1,0.53226376
P0AGJ5,1,0.6454867
P00957,0,0.40221682
P0A9L3,1,0.72957265
P0AAJ5,0,0.35126823
P04079,1,0.5123297
P0A9P4,0,0.45160875
P0A6T5,0,0.3727362
P23836,0,0.3495067
P0ADG7,0,0.4672118
P39831,1,0.72387123
P45578,1,0.71802676
P0AB52,1,0.8530011
P0AG07,1,0.75322783
P42630,0,0.33907682
P0AAI3,0,0.3635389
P0A9H3,1,0.6074513
P66899,1,0.56153864
P41409,1,0.65048754
P0ABU5,1,0.71247804
P0A9Q9,0,0.49107775
P69411,0,0.074053034
P0AFF2,0,0.18429202
P63020,1,0.8864083
P0AEG4,0,0.47369176
P0ABD8,1,0.8056897
P0A996,0,0.46529666
P13033,0,0.34598643
P28248,1,0.55538327
P0AB55,1,0.8920285
P0A6D7,1,0.8256407
P45577,1,0.79834735
P69924,1,0.66758335
P00961,1,0.5631874
P0AEN8,1,0.5283873
P0A763,1,0.8739948
P0A9Q5,0,0.3195128
P0ACE7,1,0.7616288
P76658,1,0.5009465
P0A855,1,0.5136511
P0A8A0,1,0.6740264
P31120,1,0.55112207
P0ADY1,1,0.5309454
P31663,1,0.5784834
P0A6I0,1,0.56688815
P0A742,0,0.23507038
P00448,1,0.8748239
P07395,1,0.539731
P76536,1,0.82427853
P29745,1,0.61463034
P37095,1,0.5724537
P76002,0,0.18718126
P0A9N4,1,0.75344956
P0ABK2,0,0.16423447
P0A908,0,0.32817918
P37128,1,0.7063468
P0A8G3,1,0.6552693
P33195,0,0.3202505
P0AEZ9,1,0.63987005
P0AB89,1,0.5216516
P0A7E9,1,0.53815615
P60716,1,0.55137193
P0AGE6,1,0.79813135
P32132,1,0.5636882
P09127,0,0.35718375
P0A8Q0,0,0.08583829
P0AGJ9,1,0.6600345
P07813,0,0.48993272
P0AFI7,1,0.68105066
P0AA53,0,0.13294618
P0A830,0,0.17422232
P0AC53,0,0.3032911
P76015,1,0.5234583
P28305,0,0.46645936
P0A749,0,0.47929865
P0A6H1,0,0.4855358
P09148,1,0.51173806
P0ABN5,0,0.19999656
P60906,1,0.5899618
P0A8R0,1,0.76881677
P26616,0,0.29754704
P0AAB8,1,0.72508514
P33025,0,0.3002756
P0A940,0,0.38148117
P0AEB2,0,0.33211032
P07118,0,0.39244148
P0ADC1,0,0.2609139
P26646,1,0.6897602
P0ADV7,0,0.32394457
P21513,0,0.4808713
P0ABU0,0,0.32720676
P00962,0,0.43330663
P0A9M2,1,0.6170896
P0AAS7,1,0.81506807
P0A937,0,0.19349208
P0A9Z1,1,0.51076066
P08194,0,0.19799115
P0A9L5,1,0.8098507
P0A8A2,1,0.89624727
P0AFU8,1,0.51833546
P0A794,1,0.62298614
P75809,1,0.7470848
P0A6V1,1,0.5094355
P0A6U8,0,0.31252867
P0ADX1,1,0.8103838
P11875,1,0.5616852
P04951,1,0.6280906
P29012,0,0.49313864
P00956,0,0.45131725
P0A9L8,1,0.6550563
P13035,0,0.44606465
P0AC19,1,0.7285687
P64604,0,0.34939823
P30177,1,0.51072186
P0ABU2,1,0.6000573
P00547,0,0.42804685
P02930,0,0.34495825
P33602,0,0.428739
P61517,1,0.73987687
P0AE67,0,0.46148387
P0AFD1,1,0.744444
P37051,1,0.51235557
P0AAR3,1,0.79066074
P0A9S1,1,0.6643651
P52697,1,0.7763715
P0AES6,0,0.27278018
P0AEU0,0,0.4690842
P62620,1,0.6561779
P0AES4,0,0.35078853
P37666,1,0.8270135
P0AG90,0,0.15767905
P0ABK5,1,0.67970574
P25889,1,0.54445964
P09546,0,0.21618566
Q46948,1,0.54029405
P0AF50,1,0.82457304
P69741,0,0.4887833
P37689,1,0.57529676
P25526,0,0.46087605
P33012,1,0.77382195
P09980,0,0.3548303
P0A6W0,0,0.35717234
P22634,1,0.5023192
P0A7B3,0,0.3154192
Q06065,0,0.429319
P30014,1,0.5489341
P42620,1,0.65406334
P28904,0,0.49458018
P76537,0,0.25779712
P76503,0,0.26515195
P0AFS7,0,0.05595885
P37028,0,0.17170675
P0AG03,0,0.26340812
P18392,0,0.12650745
P76193,0,0.10670082
P0A9W0,0,0.46210226
P36649,0,0.3699627
P32684,1,0.5167603
P76938,0,0.4669752
P24192,0,0.44803733
P0AF54,0,0.06294902
P42907,1,0.5339726
P36929,1,0.57059723
P0AAM7,0,0.21889284
P37342,0,0.3474604
P76341,0,0.31491184
P0AEF4,0,0.46847564
P36553,1,0.5439742
P04395,0,0.24179277
P28630,0,0.34269175
P18335,1,0.5986453
P31801,0,0.08530933
P38104,1,0.54365337
P31069,0,0.08319288
P23871,0,0.3525208
P08245,1,0.6245941
P21369,1,0.6799057
P0AEC8,0,0.14021862
P27848,1,0.6384709
P0AD99,0,0.17972323
P07026,0,0.2854864
P0AET5,0,0.026347006
P0AED9,0,0.41568524
P0AD01,0,0.47530308
P07648,0,0.21383841
P0AGI8,1,0.522438
P0AAY6,0,0.41519064
P0A6M4,1,0.71665823
P07821,1,0.5895683
P0A8X2,0,0.49849224
P0A8V0,1,0.5916467
P13857,1,0.64929175
P06961,0,0.47610015
P76541,0,0.455134
P77285,0,0.2503621
P76491,1,0.5170175
P0C0K3,0,0.4929143
P0ABM9,0,0.08186395
P16525,0,0.45393553
P39367,1,0.57416534
P76339,0,0.13459525
P31572,0,0.47817883
P27830,1,0.64822805
P37672,1,0.6895093
P0A6B4,1,0.6048161
P24205,0,0.11615509
P25737,0,0.26235372
P09832,1,0.6526675
P33235,0,0.38916197
P28905,1,0.62747896
P76053,0,0.34684294
P0AD27,0,0.09925572
P32664,1,0.544531
P0AFE0,0,0.082998015
P02918,0,0.18269598
P28631,0,0.43987426
P06993,0,0.21546738
P15977,0,0.33986327
P27305,0,0.2580231
P77510,0,0.12317401
P55135,1,0.55780494
Q46925,0,0.49785185
P38506,0,0.20994702
P0AGH1,0,0.08198778
P67444,0,0.1458067
P31467,1,0.706019
P09391,0,0.08865874
P0A944,1,0.68675363
P21514,0,0.3592513
P37019,0,0.10892017
P43533,0,0.4222231
P25748,0,0.39833012
P05707,1,0.6060055
P0A9E2,0,0.31116354
P60932,0,0.06900959
P0AB83,1,0.57745224
P77473,0,0.07518291
P37650,0,0.2930097
P77757,0,0.17991737
P42628,0,0.12806597
P0ACZ8,0,0.43421698
P0AA60,0,0.06342454
P00811,0,0.23825574
P37649,0,0.066371515
P37657,0,0.24602714
P09099,0,0.45663357
P33221,0,0.48759666
P03018,0,0.3686803
P00893,0,0.3159284
P64594,1,0.6942353
P52097,0,0.36626402
P0AFH6,0,0.098366894
P0AFX7,0,0.3061089
P60720,1,0.5126833
P0AFY6,0,0.08434732
P39176,0,0.11322359
P76446,0,0.13997626
Q46919,0,0.4891498
P0ABG1,0,0.030009186
P68187,1,0.77165663
P10443,0,0.33705387
P30745,1,0.5409459
P39838,0,0.1431913
P27829,1,0.5941134
P0AA63,0,0.058081888
P46859,1,0.7181428
P46125,0,0.012824034
P15640,1,0.52670825
P06710,0,0.4615388
P0ADD5,0,0.08655016
P27896,0,0.11789584
P07000,0,0.46797624
P05824,0,0.46701884
Q46821,0,0.15339477
P0AEP1,0,0.26774442
P0AAG5,0,0.23840912
P37624,0,0.23862986
P75989,0,0.4880256
P69423,0,0.08088498
P31548,1,0.7395843
P0A744,1,0.6954628
P33030,1,0.58418983
P37353,0,0.48659754
P0AGH3,0,0.0753986
P75958,0,0.11653723
P0A752,0,0.40417475
P23842,0,0.05980323
P0ABU7,0,0.21205974
P16703,1,0.5109714
P0AEJ6,1,0.5379669
P30845,0,0.06321998
P77555,1,0.5682831
P0A8U0,1,0.6526276
P38684,0,0.41388804
P27247,0,0.23700812
P0A814,0,0.22789212
P39321,0,0.23741119
P0AEL6,0,0.27018455
P75830,0,0.24659821
P77475,0,0.4784595
P0AA37,0,0.31996867
P21865,0,0.15809801
Q46915,1,0.52186835
P05804,1,0.62192047
P77182,0,0.3504302
P0A6C5,0,0.35661736
P0A6I3,1,0.51455873
P05637,1,0.58397955
P0AAF3,1,0.5434119
P0AGC7,0,0.08979815
P76112,0,0.4126369
P0A6I9,1,0.63083327
P0AAL3,0,0.07642807
P77399,0,0.29606378
P14377,0,0.118375935
P34209,1,0.5183195
P77179,0,0.15365607
P28634,1,0.67016083
P0AFJ5,0,0.45472255
P76330,0,0.091662884
P37671,0,0.32633755
P0AGA6,0,0.36788568
P77766,0,0.4583722
P30125,1,0.51959777
P37642,0,0.086845055
P0AEJ4,0,0.14459285
P19323,0,0.3576897
P33570,0,0.42591915
P0AGK1,0,0.14453608
P76180,0,0.059465416
P76340,0,0.32104543
P76204,0,0.4990651
P76145,1,0.67521274
P05458,0,0.24568078
P0ACS2,0,0.37717006
P77726,0,0.26547065
P17446,0,0.31395173
P76007,0,0.1417475
P28306,0,0.19828954
P60782,0,0.018764509
P77425,1,0.56492305
P0A6W3,0,0.06077057
P17411,1,0.67656845
P07013,0,0.08227496
P0AA41,0,0.4191495
P0AF16,0,0.15021022
P0AF26,0,0.25590774
P08202,1,0.6039836
P67430,1,0.51096076
P05706,1,0.7672777
P0AER8,0,0.1637226
P42624,1,0.6161046
P0ADF6,0,0.31404015
P09831,0,0.17163436
P77379,0,0.3711372
P23872,1,0.58266044
P0AGF2,1,0.6976036
P33934,0,0.033595946
P37769,1,0.7371033
P0A898,1,0.6391511
P39285,0,0.12594804
P0AEE8,1,0.6290716
P25740,0,0.33694917
P33011,0,0.06706617
P68398,1,0.50776213
P0AGD1,0,0.29396394
P0AFK4,0,0.098029524
P0AD42,0,0.10824412
P0A6X1,0,0.41603416
P0A9G2,0,0.45283714
P0ACI6,0,0.44606256
P0ACI3,0,0.36599973
P0C0U4,0,0.28339854
P0AE34,0,0.12447022
P09029,1,0.61549234
P0A924,0,0.023151617
P21189,0,0.23311666
P10903,0,0.18542306
P0C8K0,1,0.635545
P76237,0,0.05616706
P33650,0,0.17891085
P0A9T6,1,0.61287165
P37180,0,0.09148628
Q47146,0,0.13940585
P24255,0,0.3893289
P10378,0,0.44055256
P0AG76,0,0.44963774
P0A7Y4,1,0.5832814
P51981,1,0.5489295
P37678,1,0.63311845
P21693,1,0.5269621
P19636,1,0.6661032
P76273,1,0.5128308
P51025,1,0.60920304
P15047,1,0.63668567
P0AEH1,0,0.11265351
P0AGB3,0,0.42877978
P0A766,0,0.075680286
P0A968,1,0.80042523
P75745,0,0.34220973
P31825,0,0.459374
P0AAV4,0,0.42355973
P08997,0,0.41221341
P08394,0,0.2661273
P37025,0,0.41086024
P37637,0,0.20287617
P22256,1,0.5758258
P75817,1,0.6404436
P0AF01,0,0.073689945
P0ACM2,0,0.43156743
P11454,0,0.18718652
P11553,0,0.3268002
P14294,0,0.33571398
P77499,1,0.72337735
P33919,0,0.35225135
P37794,1,0.6507107
P0AFU0,0,0.073865116
P60955,0,0.1166685
P76213,0,0.076064706
P0A8G0,0,0.40094104
P08400,0,0.12501907
P33224,0,0.31500545
P30131,0,0.27197638
P0AG18,0,0.28051773
Q46938,1,0.74444544
P21363,1,0.775446
P30847,0,0.13101844
P27300,0,0.3590675
P39358,0,0.22767821
P0AG80,0,0.49474326
P0A8I1,0,0.4412318
P06721,0,0.47161514
P0AD14,0,0.07538008
P30744,0,0.3925635
P0A9I1,1,0.71197546
P15723,0,0.37511748
P76344,0,0.108877584
P25396,0,0.066443205
P0ACH8,0,0.40156358
P23847,1,0.54941195
P75800,0,0.12613203
P0ABY7,0,0.21285841
P76562,0,0.327797
P76397,0,0.27348655
P75919,0,0.21780412
P64432,0,0.047306225
P0AEV1,0,0.34252194
P37646,0,0.37382513
P36655,0,0.08149253
P69739,0,0.19729397
P13518,0,0.1756932
P31119,0,0.18813652
P39453,0,0.18433787
P33916,1,0.5619241
P77304,0,0.23949447
P75798,0,0.071301535
P08204,0,0.41898966
Q46906,0,0.2942485
P31434,0,0.46809053
P31826,0,0.10285188
P39376,0,0.25500032
P0ABR1,1,0.6135545
P76016,0,0.21335451
P0AAE2,0,0.21673921
P24230,0,0.37905294
P0A8H8,0,0.43320704
P75726,1,0.5729046
P02916,0,0.14522901
P33941,0,0.28292397
Q46822,1,0.63695663
P46889,0,0.21595296
Q06067,0,0.11628796
P03007,1,0.5373565
P0AE76,1,0.54098004
P0A8P6,0,0.46629372
P0AGH8,0,0.08603908
P00888,0,0.4255971
P0AEM0,1,0.74309886
P00935,0,0.43508872
P31133,0,0.40574536
P0ABG7,0,0.03336223
P77781,1,0.67750186
P13445,0,0.38549367
P37355,0,0.43553352
P17444,0,0.43713856
P0ACA1,0,0.42870036
P0ADI4,1,0.6997053
P00909,1,0.60764277
P76575,0,0.4458754
P46849,0,0.3491249
P0ACR0,0,0.2718925
P06611,1,0.6319144
P63340,0,0.11178078
P77364,0,0.46214214
P40719,0,0.20979902
P08368,0,0.4457344
P24207,0,0.19225523
P0ADX7,0,0.13920271
P0A8P8,0,0.32452372
P0AD96,0,0.35503465
P00936,0,0.31074053
P75820,0,0.118274294
P39830,0,0.15308195
P42589,1,0.7069334
P27859,1,0.5308389
P46068,0,0.36279687
P17802,0,0.40143973
P23484,0,0.27085805
P0AG84,1,0.652292
P0AE39,1,0.58593607
P0ADL1,0,0.12778205
P08401,0,0.12080324
P13458,0,0.38241446
P0AER5,0,0.07671319
P77161,1,0.74071705
P75870,0,0.0623007
P63883,0,0.3312908
P45579,0,0.37429515
P52067,0,0.12050202
P22731,1,0.69608957
P15030,0,0.07342172
P0AC94,0,0.1533484
P0ADN0,0,0.15654358
P27296,0,0.25455517
P26612,0,0.45326218
P07623,0,0.35226017
P31440,0,0.16325742
P0AGM7,0,0.19268742
P31474,0,0.12760723
P19931,1,0.6423182
P0AFS5,0,0.040047485
P0AA80,0,0.19138344
P0A9E9,0,0.4319159
P0ABM1,0,0.039127316
P0AGH5,0,0.09613628
P25736,0,0.1622681
P24197,1,0.6420132
P77485,0,0.13473743
P15029,0,0.082449876
P37653,0,0.059636056
P39359,1,0.6785883
P33915,0,0.061470885
P16431,1,0.5692624
Q46916,0,0.22737989
P09836,0,0.12276987
P31463,0,0.3741412
b3495,1,0.8411276
b3986,1,0.8175441
b3339,1,0.6763028
b1779,1,0.7146162
b0440,1,0.831501
b1823,1,0.8422185
b1237,1,0.89260846
b1094,1,0.7800401
b4015,1,0.5109455
b3236,1,0.5059289
b1677,0,0.24917236
b2779,1,0.74308205
b3065,0,0.44149512
b3510,1,0.5234563
b2926,1,0.73475593
b0957,0,0.4852872
b3908,1,0.8715289
b3341,1,0.5510315
b2096,1,0.67836875
b3315,1,0.6878496
b4000,1,0.8431848
b3303,1,0.6817235
b4143,0,0.40234813
b3298,1,0.56223804
b0605,1,0.8836177
b2185,1,0.9371191
b0014,1,0.53396434
b3296,1,0.5713742
b4142,1,0.8943138
b3314,1,0.67411584
b0755,1,0.5939168
b3460,0,0.33840802
b0023,1,0.824289
b4203,1,0.8187542
b3637,1,0.67734396
b3317,1,0.6894008
b1136,1,0.68087715
b2417,1,0.843698
b3305,1,0.8180895
b3985,1,0.8710807
b2609,1,0.9070616
b2093,1,0.54220486
b3294,1,0.71185464
b2414,1,0.6738263
b3308,1,0.77539
b4202,1,0.5386061
b3307,1,0.85380775
b3321,1,0.52044964
b4243,1,0.9052321
b3984,1,0.7392312
b3304,1,0.7423887
b2551,1,0.6619237
b3340,1,0.64557064
b0903,1,0.54714215
b0170,1,0.83675796
b4200,1,0.8814991
b1716,1,0.66256434
b2095,0,0.33266336
b3312,1,0.5515269
b3301,1,0.83995706
b3310,1,0.6081919
b3309,1,0.8509675
b2606,1,0.8581554
b0169,1,0.67769176
b3231,1,0.8786256
b3732,0,0.45649487
b3320,1,0.8127926
b0911,1,0.63966686
b2579,1,0.5954645
b3319,1,0.6694647
b3230,1,0.7024795
b0623,1,0.86169547
b3983,1,0.74923563
b3165,1,0.70250976
b1324,1,0.87311554
b2665,0,0.46620876
b1415,1,0.5702065
b1482,1,0.88888454
b2007,1,0.6053752
b4226,1,0.84021455
b3302,1,0.63400805
b3313,1,0.63537455
b3928,1,0.61842406
b2925,1,0.7233876
b1480,0,0.20075457
b3306,1,0.78365076
b3734,1,0.56311977
b1712,1,0.6381911
b4245,1,0.58068717
b3316,1,0.7309495
b1241,0,0.39476648
b0436,1,0.82671416
b3636,1,0.72251016
b3342,0,0.48816547
b0114,1,0.53333175
b0812,1,0.8560898
b3708,1,0.7117345
b4177,1,0.5487483
b1243,1,0.56975764
b3544,1,0.5549276
b3919,1,0.8846323
b3297,1,0.637296
b0197,0,0.47729665
b3703,1,0.5999056
b0008,1,0.586062
b3186,1,0.86188316
b2415,1,0.91670674
b0116,1,0.67388964
b0811,1,0.5731709
b3185,1,0.8075449
b1923,1,0.58980167
b0474,1,0.78448653
b2150,0,0.41826764
b1089,1,0.77775955
b3774,0,0.48479944
b3609,1,0.91406834
b2518,1,0.883455
b0329,0,0.26309162
b3831,1,0.7290807
b4244,1,0.6580269
b1004,1,0.7747288
b2029,1,0.5774568
b3829,0,0.41023818
b2310,0,0.46992764
b0912,1,0.78809994
b2094,1,0.6540799
b4014,0,0.41525382
b1288,1,0.58567345
b2323,1,0.5970497
b0728,1,0.6225963
b1676,1,0.7240024
b0729,1,0.6095475
b3781,1,0.89273584
b3295,0,0.4348188
b3098,0,0.18336824
b3203,1,0.7489136
b2913,1,0.5552515
b3751,0,0.403304
b3311,1,0.85084325
b0118,0,0.33239192
b0172,1,0.7421785
b1920,0,0.35811538
b3433,0,0.49083996
b3517,0,0.49270338
b4034,1,0.5897537
b0178,1,0.6978641
b0607,1,0.7093233
b3783,0,0.4341411
b0753,0,0.27783516
b0115,1,0.57937217
b0928,1,0.620912
b2498,1,0.66268766
b0720,1,0.5251001
b0407,0,0.27818722
b0525,1,0.94258183
b3649,1,0.5874909
b2614,1,0.7725739
b2942,1,0.6468403
b0166,1,0.52312464
b0415,1,0.73351026
b4401,1,0.67550826
b4045,0,0.47608814
b2476,1,0.8567939
b3764,0,0.2896324
b0907,1,0.7682539
b4069,0,0.39445755
b2416,1,0.71910775
b3988,0,0.18334618
b4139,1,0.64168584
b3870,1,0.62365675
b3509,0,0.23200195
b0954,1,0.81929123
b1718,1,0.77183384
b3936,1,0.7132529
b0727,1,0.57247794
b1817,1,0.8764943
